task,model,language,param_changed,param_value,prompt_style,f1,energy_j,J_per_entity,J_per_TP,F1_per_J
NER,12B,ar,batch_size,128,1,0.08292175721341304,83804.77300000191,20.29662702833662,131.3554435736707,9.89463418908266e-07
NER,12B,ar,batch_size,128,2,0.07899228912825947,75598.65800000727,13.193483071554498,112.66566020865466,1.0448900974968612e-06
NER,12B,ar,batch_size,128,3,0.08155339805825243,68788.94200000167,14.617284742881782,105.66657757296723,1.1855597089754695e-06
NER,12B,ar,batch_size,128,4,0.08401495676559943,62872.753999993205,10.73463445449773,87.44472044505314,1.3362697101769793e-06
NER,12B,ar,batch_size,128,5,0.08373117884686009,63232.00100000203,12.449695018704869,92.44444590643572,1.324189927926801e-06
NER,12B,ar,batch_size,128,6,0.08355861391005161,64598.70000000298,12.875961730118194,94.9980882352985,1.2935030257582235e-06
NER,12B,ar,batch_size,128,7,0.07676237091864144,56690.925999999046,10.318697852202229,88.16629237946975,1.3540503980944452e-06
NER,12B,ar,batch_size,128,8,0.07067801584972117,161373.65700000525,27.938652527701738,268.0625531561549,4.379774069922631e-07
NER,12B,ar,batch_size,128,9,0.07052281820031193,151002.75100000203,43.29207310779874,290.38990576923464,4.6703002252131807e-07
NER,12B,de,batch_size,128,1,0.7256775344808358,186609.16899999976,14.320402808686959,19.11979190573768,3.8887560475704e-06
NER,12B,de,batch_size,128,2,0.720309075374271,165188.77799999714,12.657174009654213,17.038553687467473,4.360520636421704e-06
NER,12B,de,batch_size,128,3,0.7113260665559806,117916.92000001669,8.521240063594211,11.966401461337192,6.032434247399609e-06
NER,12B,de,batch_size,128,4,0.7260709383804089,173665.07099997997,12.568032349108407,17.27838732464232,4.180869153478149e-06
NER,12B,de,batch_size,128,5,0.7400131935791249,60263.9280000031,4.491275003726569,5.969089540412352,1.2279537994587523e-05
NER,12B,de,batch_size,128,6,0.7382072849890688,103430.66800001264,7.884035978352972,10.383562694509852,7.137218576109154e-06
NER,12B,de,batch_size,128,7,0.7366859516392226,89436.07999998331,6.829266951739715,9.00484091824238,8.237010741519083e-06
NER,12B,de,batch_size,128,8,0.6509623902714021,237525.23600000143,21.660152836038794,29.385777062971844,2.7406030669995763e-06
NER,12B,de,batch_size,128,9,0.7169825316174017,190661.3480000198,14.559858571975546,19.724948065385867,3.7605027927177315e-06
NER,12B,en,batch_size,128,1,0.5645889792231256,182813.71299999952,14.497518873909558,24.375161733333268,3.088329480092815e-06
NER,12B,en,batch_size,128,2,0.5749027604697707,124606.94600000978,9.950247225106587,16.369803730952412,4.613729642886245e-06
NER,12B,en,batch_size,128,3,0.5776719727117681,86249.6399999857,6.0799125898763355,10.610116865541356,6.697674015936343e-06
NER,12B,en,batch_size,128,4,0.5942881900566849,120331.29199999571,8.758373389620475,14.621056136086963,4.938766801047113e-06
NER,12B,en,batch_size,128,5,0.592075608869502,163596.6859999895,12.071774350648576,20.088001719055686,3.6191173754555147e-06
NER,12B,en,batch_size,128,6,0.5917873523782008,80111.38199999928,5.834344330347337,9.778027828634112,7.38705708981785e-06
NER,12B,en,batch_size,128,7,0.6088879222850515,203202.90000000596,14.908503301541156,24.193701631147274,2.996452916198704e-06
NER,12B,en,batch_size,128,8,0.5294095538767993,188893.64999997616,14.933484860461393,26.82005537412696,2.802685817532067e-06
NER,12B,en,batch_size,128,9,0.5089230001247972,103690.35700002313,10.285721357010527,16.951178191927927,4.9081034615849925e-06
NER,12B,es,batch_size,128,1,0.7062698219077823,100371.48800000548,8.137788876277403,11.556878295913124,7.036558249567284e-06
NER,12B,es,batch_size,128,2,0.7058919603119512,80440.10300001502,6.576739677868941,9.30588882461997,8.775373650526272e-06
NER,12B,es,batch_size,128,3,0.695437534835576,70751.66699999571,5.50254059729318,8.100717540645261,9.829274196968648e-06
NER,12B,es,batch_size,128,4,0.7002109788623063,77497.13800001144,6.025747453542605,8.811499488346952,9.035314037819086e-06
NER,12B,es,batch_size,128,5,0.7090458588894756,76797.15000000596,6.213864390323324,8.798940192484643,9.232710574408301e-06
NER,12B,es,batch_size,128,6,0.709881294818296,75964.19800001383,6.114803026645241,8.67072229197738,9.344945559988229e-06
NER,12B,es,batch_size,128,7,0.7307456337682523,57198.62999999523,4.692643366969828,6.403070636963532,1.2775579306153194e-05
NER,12B,es,batch_size,128,8,0.6552528534533033,152764.4169999957,13.005654435552163,19.423320661156477,4.289302877733115e-06
NER,12B,es,batch_size,128,9,0.6787452906066123,102227.58399999142,8.996531197746318,12.751351378319995,6.639551323121059e-06
NER,12B,fr,batch_size,128,1,0.6143674845809113,143704.069000002,15.674527595986255,20.757485049834177,4.2752267827635605e-06
NER,12B,fr,batch_size,128,2,0.7015982993465082,132628.90499999747,11.022097980553268,14.883728537762032,5.289935096324e-06
NER,12B,fr,batch_size,128,3,0.6888931517360445,159075.4379999973,12.529571361058387,17.718360213855792,4.330606663085575e-06
NER,12B,fr,batch_size,128,4,0.7140578719526088,111978.89999999851,8.637015040493521,11.910114869176612,6.376718041993789e-06
NER,12B,fr,batch_size,128,5,0.619368203003625,84124.71600000188,8.581527695603578,11.723065217391566,7.362499779536982e-06
NER,12B,fr,batch_size,128,6,0.5371558978747683,80132.26000000164,10.45567066805867,14.185211541866106,6.703366382961834e-06
