elapsed_s,time_wait_count
0.000,654
2.015,623
4.029,623
6.044,12
8.056,12
10.073,13
12.353,33
14.908,37
16.923,38
18.934,36
20.947,36
22.961,58
24.972,63
26.986,60
28.998,60
31.012,60
33.306,65
35.320,68
37.335,69
39.346,68
41.361,70
43.648,71
45.662,71
47.678,71
49.690,71
52.399,85
54.414,85
56.429,85
58.444,85
60.456,86
62.472,87
64.485,87
66.499,87
68.514,87
71.493,91
73.505,91
75.517,67
77.530,69
80.135,73
82.149,73
84.162,308
86.178,309
